ID,Type,UGS,Nom,Publié,Visibilité dans le catalogue,Description,En stock ?,Stock,Poids (kg),Longueur (cm),Largeur (cm),Tarif promo,Tarif régulier,Catégories,Images,Produits suggérés,Ventes croisées,Marques,Méta : dimensions,Méta : poids_machine,Méta : charges,Méta : poids_max_de_l039utilisateur,Méta : gamme_produit,Méta : reference,En stock ?
1,Simple,Lifecycle GE,Spinning Bike,1,Visible,"Équipement / Cardio / Matériel de qualité professionnelle <br>
Vélo d’indoor cycling fluide et silencieux avec réglages selle et <br> guidon pour une adaptation à tous les utilisateurs. <br>Résistance réglable pour un travail cardio précis et <br>régulier.<br>
Dimensions : 1390 × 580 × 1000 mm<br>
Poids : 51Kg<br>
Passage porte standard : oui<br>
Utilisation : Cardio en salle ou home gym.<br>",1.0,2,,,,2140.0,790.0,Cardio training,"https://spartekfitness.com/app/uploads/2025/05/N1609-1024x1024.png,https://spartekfitness.com/app/uploads/2025/05/N1609-A.jpg,https://spartekfitness.com/app/uploads/2025/05/N1609-C.jpg","T2000,E0919","T2000,R-PS-TOUCH",Life Fitness,1390x580x1000,51Kg,,,GX,Lifecycle GE,
2,Simple,Duke Magnetic H925,Spinning Bike,1,Visible,"Équipement / Cardio / Matériel de qualité professionnelle<br>
Indoor cycle à résistance magnétique offrant un mouvement stable et progressif.<br> Réglages multipoints permettant une posture optimale. Structure robuste adaptée à un usage intensif.<br>
Dimensions : 1040 × 630 × 1170 mm<br>
Passage porte standard : oui<br>
Poids : 43Kg<br>
Utilisation : Entraînement cardio régulier ou intensif.<br>",1.0,2,,,,2490.0,690.0,Cardio training,"https://spartekfitness.com/app/uploads/2025/05/N1609-1024x1024.png,https://spartekfitness.com/app/uploads/2025/05/N1609-A.jpg,https://spartekfitness.com/app/uploads/2025/05/N1609-C.jpg","T2000,E0919","T2000,R-PS-TOUCH",BH,1040x630x1170,43Kg,,,BH,Duke Magnetic H925,